Variable,Mean,Std Dev
tp,9.360576223116368e-05,0.0003594652225729078
e,-9.764204150997102e-05,0.00010723216109909117
pev,-5.0083901442121714e-05,0.0001300259755225852
ro,1.681441608525347e-05,7.640775584150106e-05
ssro,9.215373211191036e-06,2.4632849090266973e-05
sro,7.683257535973098e-06,6.665762339252979e-05
